DATE;NTOT;NLOW;WDIR;WSPD;WMAX;PP;T;WVP;HUM;PST;PSEA
1961-10-18;1.5;1.5;0;0;M;0;-0.2;5.4;M;1021.7;M
1961-10-19;5;4.5;3.5;124;M;0;2.6;7;M;1028.5;M
1961-10-20;9.9;9.9;2.5;147;M;0;1.2;6.7;M;1033.1;M
1961-10-21;9.9;9.9;2.5;248;M;0;0.6;6.4;M;1033.9;M
1961-10-22;9.9;9.9;3.5;282;M;0;2.7;6.6;M;1036.35;M
1961-10-23;4.5;4.5;2;338;M;0;1.6;6.9;M;1037.15;M
1961-10-24;9.9;9.9;2.5;203;M;0;2.9;7.6;M;1036.45;M
1961-10-25;9.9;9.9;4;203;M;0;3.6;7.4;M;1030.1;M
1961-10-26;9.9;9.9;5;192;M;0;5.9;7.8;M;1024.75;M
1961-10-27;5;4.5;4.5;203;M;0;5.4;7.9;M;1023.15;M
1961-10-28;6;5.6;3;192;M;0;6.1;8.7;M;1022.6;M
1961-10-29;5;4.5;3.5;180;M;0;4.5;7.5;M;1021.25;M
1961-10-30;9.9;9.9;1.5;192;M;0.5;6.6;9.8;M;1016.75;M
1961-10-31;9.9;9.9;3;226;M;0;6.3;9.1;M;1017.65;M
1961-11-01;9.9;9.9;4.5;214;M;1.3;5.6;8.6;M;1009.3;M
1961-11-02;9.9;9.9;2.5;214;M;1.7;6;9.4;M;1014.1;M
1961-11-03;8;8;2.5;192;M;0;4;7.4;M;1018.65;M
1961-11-04;9.9;9.9;5;180;M;0;4.1;7.4;M;1020.1;M
1961-11-05;9.9;9.9;2;158;M;0;5.9;9;M;1024.55;M
1961-11-06;9.9;9.9;2.5;180;M;0;3.6;7.9;M;1026.35;M
1961-11-07;9.9;9.9;1.5;169;M;0;2.6;7.4;M;1027.05;M
1961-11-08;9.9;9.9;1.7;180;M;0;1.2;6.7;M;1025.133333;M
1961-11-09;9.9;9.9;0.5;79;M;0.2;0.6;6.4;M;1020.1;M
1961-11-10;9.9;9.9;1.3;30;M;2.4;0.5;6.4;M;1021.3;M
1961-11-11;9.9;9.9;3.5;68;M;0;-4.3;3.3;M;1030.2;M
1961-11-12;9.9;9.9;4;90;M;0.1;-8;2.7;M;1036.8;M
1961-11-13;0;0;2;113;M;0;-12.1;1.9;M;1037.95;M
1961-11-14;9.9;9.9;3;124;M;1.2;-10.4;2.5;M;1025.45;M
1961-11-15;1;0.4;1;181;M;3.8;-12.1;2.3;M;1013.15;M
1961-11-16;9.9;9.9;5;270;M;0.4;-0.9;5.2;M;1005.65;M
1961-11-17;9.9;9.9;6.5;225;M;0.6;0.3;6.3;M;998.4;M
1961-11-18;9;9;4.5;237;M;0.9;-2.8;4.2;M;999.25;M
1961-11-19;9.9;9.9;1;192;M;0.2;-3.1;4.6;M;1006.65;M
1961-11-20;9.9;9.9;2;169;M;0;-4.3;3.9;M;1021.85;M
1961-11-21;9.9;9.9;4.5;214;M;1.4;-5.4;3.7;M;1016.05;M
1961-11-22;9.9;9.9;5.5;270;M;1.2;2.2;6.9;M;1005.05;M
1961-11-23;6;5.7;4.5;192;M;0;-1.8;4;M;1013.2;M
1961-11-24;9.9;9.9;4;293;M;0;-3.4;3.8;M;1019.45;M
1961-11-25;9.9;9.9;3;226;M;0;-1.8;4.8;M;1017.2;M
1961-11-26;9.9;9.9;2;135;M;0.2;-4.5;4;M;1017.85;M
