Daynum,Q_Moskva,Q_Lusyanka
236,2.06516129032258,0.424838709677419
237,2.24516129032258,0.56258064516129
238,2.81935483870968,0.964516129032258
239,2.97354838709677,0.736451612903226
240,3.29935483870968,0.799677419354839
241,3.29774193548387,0.619677419354839
242,3.0858064516129,0.511612903225806
243,2.61548387096774,0.474516129032258
244,2.59064516129032,0.485806451612903
245,3.09193548387097,0.666451612903226
246,3.91,1.19709677419355
247,3.74225806451613,0.950645161290323
248,3.18451612903226,0.532903225806452
249,3.07645161290323,0.484838709677419
250,2.64225806451613,0.468387096774194
251,2.34870967741935,0.474193548387097
252,2.18645161290323,0.474838709677419
253,2.11741935483871,0.446451612903226
254,2.01516129032258,0.431290322580645
255,2.01096774193548,0.442258064516129
256,2.06032258064516,0.461612903225806
257,2.12451612903226,0.495806451612903
258,2.07806451612903,0.484193548387097
259,2.12064516129032,0.482903225806452
260,2.60645161290323,0.844838709677419
261,3.53645161290323,1.20838709677419
262,3.39064516129032,0.775161290322581
263,3.24258064516129,0.70258064516129
264,3.1541935483871,0.659354838709677
265,3.1541935483871,0.683548387096774
266,3.82258064516129,0.960967741935484
267,3.88677419354839,0.872903225806452
268,3.76096774193548,0.846451612903226
269,3.51258064516129,0.805161290322581
270,3.18967741935484,0.695161290322581
271,2.98032258064516,0.619354838709677
272,3.07,0.750322580645161
273,3.39677419354839,0.804193548387097
274,3.74516129032258,0.855483870967742
275,4.17870967741935,0.933870967741935
276,4.78774193548387,1.13129032258065
277,4.82870967741936,1.03258064516129
278,4.49516129032258,0.962258064516129
279,3.90967741935484,0.829354838709677
280,3.63516129032258,0.854516129032258
281,3.61838709677419,0.773548387096774
282,3.79161290322581,0.718387096774194
283,3.60741935483871,0.630322580645161
284,4.11709677419355,0.82
285,4.38645161290323,0.87
286,4.68387096774194,0.955483870967742
287,5.66935483870968,1.1558064516129
288,5.48258064516129,0.976129032258064
289,4.62161290322581,0.803225806451613
290,4.13096774193548,0.866774193548387
291,3.71290322580645,0.92
292,3.80354838709677,0.83741935483871
293,4.17870967741935,0.950967741935484
294,4.94032258064516,1.27838709677419
295,4.89709677419355,1.13322580645161
296,5.26806451612903,1.13193548387097
297,5.47774193548387,1.15806451612903
298,4.90322580645161,0.926774193548387
